               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.040064,            0.027932,           0.0047607,             0.75557,             0.61405,             0.67614,             0.27805,            0.045815,            0.030227,           0.0088283,             0.00406,             0.00406,             0.00406
                  62,            0.039614,            0.027414,           0.0043982,              0.7404,             0.62632,             0.67977,             0.29182,            0.045025,            0.030022,           0.0087467,            0.003961,            0.003961,            0.003961
                  63,            0.039467,            0.028084,           0.0043278,             0.75321,             0.60876,             0.66877,             0.28389,            0.045568,            0.030586,           0.0080488,            0.003862,            0.003862,            0.003862
                  64,            0.039086,            0.027365,           0.0045261,             0.74489,             0.59695,             0.65768,             0.27768,            0.045379,            0.030408,           0.0087089,            0.003763,            0.003763,            0.003763
                  65,            0.039515,            0.027884,           0.0042966,              0.7674,             0.59335,              0.6565,             0.27653,            0.045853,            0.030196,           0.0093439,            0.003664,            0.003664,            0.003664
                  66,             0.03924,            0.027435,           0.0044284,             0.73458,             0.61711,             0.66666,             0.27195,            0.045827,            0.030276,           0.0082086,            0.003565,            0.003565,            0.003565
                  67,            0.039448,            0.027371,           0.0043228,             0.76079,             0.59418,             0.65918,             0.27409,            0.045907,            0.030207,           0.0084144,            0.003466,            0.003466,            0.003466
                  68,             0.03892,            0.027945,             0.00428,             0.74836,             0.60819,             0.66982,             0.27783,            0.045392,            0.030447,           0.0088759,            0.003367,            0.003367,            0.003367
                  69,            0.038503,            0.027766,           0.0039103,             0.72514,              0.6303,             0.66787,               0.281,            0.045581,            0.030259,           0.0086077,            0.003268,            0.003268,            0.003268
                  70,            0.038847,            0.027435,            0.004079,             0.74964,             0.60665,             0.67368,             0.28402,            0.045313,            0.030122,           0.0084926,            0.003169,            0.003169,            0.003169
                  71,            0.038518,            0.027983,           0.0041299,             0.73412,             0.62336,             0.67493,             0.28785,            0.045251,            0.030155,           0.0094781,             0.00307,             0.00307,             0.00307
                  72,            0.038219,            0.026254,           0.0041641,             0.74575,             0.61034,             0.67573,             0.28257,            0.045727,            0.030277,           0.0081877,            0.002971,            0.002971,            0.002971
                  73,            0.038516,            0.026975,           0.0040895,             0.71914,             0.62685,             0.66371,             0.27324,            0.046376,            0.030468,            0.008846,            0.002872,            0.002872,            0.002872
                  74,            0.038199,            0.027218,           0.0039842,             0.74214,             0.61579,             0.67479,             0.28585,            0.044862,            0.030026,           0.0089301,            0.002773,            0.002773,            0.002773
                  75,            0.037993,             0.02666,           0.0041106,             0.73317,             0.61825,             0.66698,             0.28062,            0.044969,            0.030357,           0.0088558,            0.002674,            0.002674,            0.002674
                  76,            0.038101,            0.027776,           0.0038841,             0.76024,              0.6136,             0.66728,             0.28214,            0.045546,            0.030142,           0.0086978,            0.002575,            0.002575,            0.002575
                  77,            0.037906,            0.026991,            0.003879,             0.75565,             0.62254,             0.67446,             0.28881,            0.045132,            0.029907,           0.0087097,            0.002476,            0.002476,            0.002476
                  78,             0.03775,            0.026469,           0.0038219,             0.76312,             0.60698,             0.67164,             0.28485,            0.045096,            0.030188,           0.0090279,            0.002377,            0.002377,            0.002377
                  79,            0.037782,            0.026546,           0.0036434,             0.72425,             0.63818,             0.67685,             0.28453,             0.04501,            0.030045,           0.0087803,            0.002278,            0.002278,            0.002278
                  80,            0.037735,            0.026608,           0.0035023,             0.74668,             0.60821,             0.67148,             0.28428,            0.045175,            0.030057,           0.0093031,            0.002179,            0.002179,            0.002179
                  81,            0.037784,            0.027824,           0.0037833,             0.76158,             0.61824,             0.67035,             0.28392,            0.045098,            0.029964,           0.0084696,             0.00208,             0.00208,             0.00208
                  82,            0.037364,            0.026963,           0.0036357,             0.74935,              0.5982,             0.66786,             0.28176,            0.044998,            0.030091,           0.0088876,            0.001981,            0.001981,            0.001981
                  83,            0.037227,            0.026933,           0.0034933,             0.74846,             0.61247,             0.67516,             0.28261,            0.045151,             0.03012,           0.0090243,            0.001882,            0.001882,            0.001882
