               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.047148,            0.034501,           0.0048373,             0.79398,             0.60865,             0.64969,             0.34717,             0.03905,            0.025409,           0.0037036,            0.005149,            0.005149,            0.005149
                  51,             0.04579,            0.033898,           0.0048679,             0.79317,             0.57771,             0.64616,             0.35417,            0.038259,            0.025058,            0.003883,             0.00505,             0.00505,             0.00505
                  52,            0.046407,            0.033076,           0.0050379,             0.78044,             0.60365,               0.649,             0.35667,            0.037197,            0.024927,           0.0041129,            0.004951,            0.004951,            0.004951
                  53,            0.046397,            0.035453,           0.0047899,             0.84182,             0.59075,             0.65053,             0.35097,            0.037631,            0.025684,           0.0039707,            0.004852,            0.004852,            0.004852
                  54,            0.044186,            0.033098,           0.0046647,             0.83029,             0.60279,             0.64488,             0.34403,            0.038204,            0.025205,           0.0036988,            0.004753,            0.004753,            0.004753
                  55,            0.045287,            0.034234,           0.0046694,             0.82663,             0.59126,             0.65729,             0.36575,            0.037412,            0.024021,           0.0032152,            0.004654,            0.004654,            0.004654
                  56,            0.046767,            0.033403,           0.0047724,             0.82245,             0.57722,             0.65634,             0.37161,            0.036464,            0.024335,           0.0032796,            0.004555,            0.004555,            0.004555
                  57,            0.043762,            0.032191,           0.0042116,             0.81479,             0.61318,             0.66459,             0.36807,             0.03868,            0.024408,           0.0033235,            0.004456,            0.004456,            0.004456
                  58,            0.045462,            0.032351,           0.0043535,             0.80939,             0.59116,             0.65603,             0.36221,            0.037589,            0.024682,           0.0037048,            0.004357,            0.004357,            0.004357
                  59,            0.043313,            0.031629,           0.0043124,             0.78904,             0.62751,             0.66513,             0.37011,            0.037248,            0.024229,           0.0036968,            0.004258,            0.004258,            0.004258
                  60,            0.043522,            0.033792,           0.0044816,             0.77419,             0.63529,             0.67703,             0.36674,            0.036764,            0.024771,           0.0031563,            0.004159,            0.004159,            0.004159
                  61,            0.044615,            0.032906,           0.0043817,             0.79253,             0.63569,             0.67608,             0.37595,            0.036187,            0.023705,           0.0031695,             0.00406,             0.00406,             0.00406
                  62,             0.04288,             0.03173,           0.0041358,             0.77337,             0.65165,             0.67834,             0.37465,            0.036597,            0.024718,           0.0030895,            0.003961,            0.003961,            0.003961
                  63,             0.04374,            0.031895,           0.0045167,             0.75602,             0.65584,               0.675,             0.37684,            0.036925,            0.024221,           0.0033577,            0.003862,            0.003862,            0.003862
                  64,            0.042106,            0.029291,           0.0037402,             0.82203,             0.60935,             0.66255,             0.37945,            0.036687,            0.024195,            0.003127,            0.003763,            0.003763,            0.003763
                  65,            0.042531,            0.030728,           0.0037651,             0.81777,             0.60333,             0.67067,             0.37595,            0.035844,            0.024082,           0.0032067,            0.003664,            0.003664,            0.003664
                  66,            0.042812,            0.031573,            0.004081,             0.86879,             0.60189,             0.67362,             0.38335,            0.035974,            0.023728,           0.0031544,            0.003565,            0.003565,            0.003565
                  67,            0.042068,            0.031266,           0.0036884,             0.85031,              0.5983,             0.67262,             0.38384,            0.035565,             0.02398,           0.0033565,            0.003466,            0.003466,            0.003466
                  68,            0.043683,            0.034169,           0.0040096,             0.82669,             0.59178,             0.66554,             0.37455,            0.035771,            0.025174,           0.0036229,            0.003367,            0.003367,            0.003367
                  69,            0.042873,             0.03374,           0.0037283,             0.82508,             0.62039,             0.67224,             0.37955,            0.037263,            0.023914,           0.0033516,            0.003268,            0.003268,            0.003268
                  70,            0.042675,            0.031215,            0.004005,             0.86456,             0.59373,             0.66512,             0.37973,            0.036079,            0.024023,           0.0030342,            0.003169,            0.003169,            0.003169
                  71,            0.042978,            0.032492,           0.0037856,             0.82721,             0.60223,             0.67526,             0.38419,            0.036022,            0.024425,           0.0030508,             0.00307,             0.00307,             0.00307
                  72,            0.041149,            0.030585,           0.0035575,             0.80899,             0.60086,             0.66638,             0.38102,            0.035404,            0.023719,           0.0032879,            0.002971,            0.002971,            0.002971
                  73,            0.043595,            0.032207,           0.0039797,             0.85432,              0.5982,             0.67199,             0.38141,            0.035274,            0.023674,           0.0031034,            0.002872,            0.002872,            0.002872
                  74,            0.042406,            0.031601,             0.00386,             0.84845,             0.61901,             0.68714,             0.39458,            0.035386,            0.023633,           0.0030243,            0.002773,            0.002773,            0.002773
                  75,            0.041974,            0.030475,           0.0040774,              0.8197,             0.62298,             0.68419,             0.39025,            0.034609,            0.023526,           0.0028558,            0.002674,            0.002674,            0.002674
                  76,            0.041431,            0.029677,           0.0036758,             0.84568,             0.61366,             0.68385,             0.38548,            0.035699,            0.023571,           0.0030002,            0.002575,            0.002575,            0.002575
                  77,            0.040839,            0.031441,             0.00329,             0.86734,             0.61134,             0.68859,             0.39053,            0.034741,            0.023594,           0.0028792,            0.002476,            0.002476,            0.002476
                  78,             0.04216,            0.031039,           0.0035538,             0.84894,             0.62122,             0.68419,             0.38952,            0.035227,            0.023476,           0.0028503,            0.002377,            0.002377,            0.002377
                  79,            0.042067,            0.031104,            0.003501,             0.84058,             0.64018,             0.68462,             0.39763,            0.034424,            0.023383,           0.0028999,            0.002278,            0.002278,            0.002278
                  80,            0.042412,            0.032409,           0.0035398,             0.83089,             0.63576,             0.69326,             0.39775,            0.034472,            0.023227,           0.0028591,            0.002179,            0.002179,            0.002179
                  81,            0.041164,            0.031026,           0.0037724,             0.85164,             0.62731,             0.69526,             0.39779,            0.034616,            0.023155,           0.0027317,             0.00208,             0.00208,             0.00208
                  82,            0.040825,            0.031421,           0.0032689,             0.85149,             0.62944,             0.69526,             0.39407,             0.03477,            0.023466,           0.0027836,            0.001981,            0.001981,            0.001981
                  83,            0.041016,            0.030835,           0.0034135,              0.8419,             0.63738,             0.69515,             0.39507,            0.034659,             0.02347,           0.0029262,            0.001882,            0.001882,            0.001882
                  84,            0.039958,             0.02884,           0.0031596,             0.86847,              0.6214,             0.68844,             0.39446,            0.034466,            0.023293,           0.0028971,            0.001783,            0.001783,            0.001783
                  85,            0.041427,            0.031208,           0.0033791,             0.83018,             0.64414,             0.68699,             0.40388,            0.034075,            0.023135,           0.0027923,            0.001684,            0.001684,            0.001684
                  86,            0.040593,            0.031811,           0.0035093,             0.86486,             0.62812,             0.68757,             0.39822,            0.034314,            0.023354,            0.002871,            0.001585,            0.001585,            0.001585
                  87,            0.040821,            0.031105,           0.0034362,             0.82152,             0.62571,             0.68816,             0.39745,            0.034793,            0.023536,           0.0031801,            0.001486,            0.001486,            0.001486
                  88,            0.040684,            0.031175,           0.0031995,             0.82732,             0.64822,             0.69241,             0.39688,            0.034296,            0.023354,           0.0029791,            0.001387,            0.001387,            0.001387
                  89,            0.040251,            0.031162,           0.0030952,             0.85458,             0.63648,               0.686,             0.39967,            0.034404,            0.023258,           0.0028197,            0.001288,            0.001288,            0.001288
                  90,            0.038717,            0.029008,           0.0030034,             0.79231,             0.64934,             0.68135,             0.39546,            0.034203,            0.023446,           0.0029525,            0.001189,            0.001189,            0.001189
                  91,            0.039011,            0.030553,            0.002887,             0.85965,             0.62424,              0.6887,             0.39665,            0.034681,            0.023589,           0.0027547,             0.00109,             0.00109,             0.00109
                  92,            0.040396,            0.030666,           0.0031861,             0.81873,             0.64042,             0.69011,              0.4062,            0.033949,            0.023164,           0.0027898,            0.000991,            0.000991,            0.000991
                  93,             0.03914,            0.030053,           0.0029803,              0.8342,             0.65785,             0.69769,             0.40863,            0.034005,            0.023139,           0.0027993,            0.000892,            0.000892,            0.000892
                  94,            0.039585,            0.030019,           0.0029727,             0.78747,             0.65767,             0.68657,             0.40035,            0.034963,            0.023734,           0.0030108,            0.000793,            0.000793,            0.000793
                  95,            0.040976,            0.029007,            0.003132,             0.82785,             0.64409,             0.69327,             0.40322,             0.03414,            0.023096,           0.0027325,            0.000694,            0.000694,            0.000694
                  96,            0.039664,            0.030483,           0.0028977,             0.78684,             0.66106,             0.69076,             0.40625,            0.034189,            0.023634,           0.0027572,            0.000595,            0.000595,            0.000595
                  97,              0.0392,            0.028596,           0.0028789,             0.83375,             0.63738,             0.69408,             0.40674,            0.033791,              0.0231,           0.0027662,            0.000496,            0.000496,            0.000496
                  98,            0.039851,            0.029177,           0.0032088,             0.79814,             0.65269,             0.69671,             0.40339,            0.033759,            0.023075,           0.0028244,            0.000397,            0.000397,            0.000397
                  99,            0.038476,            0.029572,           0.0028734,             0.78035,             0.66388,             0.69598,             0.40794,            0.033633,            0.023068,           0.0027645,            0.000298,            0.000298,            0.000298
